date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:42:18	1479/1479	---M--	200	added ('OK')	text/plain	etag:%225554a3ba-5c7%22	http://206.81.1.69/robots.txt		(from )
20:42:19	37480/37480	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Sep%202021%2023:42:19%20GMT	http://206.81.1.69/	206.81.1.69/index.html	(from )
20:42:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20Sep%202021%2023:42:19%20GMT	http://206.81.1.69/content/observatorio	206.81.1.69/content/observatorio	(from http://206.81.1.69/)
20:42:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20Sep%202021%2023:42:20%20GMT	http://206.81.1.69/node/1	206.81.1.69/node/1	(from http://206.81.1.69/)
20:42:21	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22558c2b0c-47e%22	http://206.81.1.69/sites/all/themes/observatorio/favicon.ico	206.81.1.69/sites/all/themes/observatorio/favicon.ico	(from http://206.81.1.69/)
20:42:22	6176/6176	---M--	200	added ('OK')	text/css	etag:%22597e165f-1820%22	http://206.81.1.69/sites/default/files/css/css_kShW4RPmRstZ3SpIC-ZvVGNFVAi0WEMuCnI0ZkYIaFw.css	206.81.1.69/sites/default/files/css/css_kShW4RPmRstZ3SpIC-ZvVGNFVAi0WEMuCnI0ZkYIaFw.css	(from http://206.81.1.69/)
20:42:23	4871/4871	---M--	200	added ('OK')	text/css	etag:%22597e1e26-1307%22	http://206.81.1.69/sites/default/files/css/css_hFC-VOe0wdKw2fEoLiDmBwN2H2GfvZABVolycsXSAMw.css	206.81.1.69/sites/default/files/css/css_hFC-VOe0wdKw2fEoLiDmBwN2H2GfvZABVolycsXSAMw.css	(from http://206.81.1.69/)
20:42:24	3106/3106	---M--	200	added ('OK')	text/css	etag:%22597e165f-c22%22	http://206.81.1.69/sites/default/files/css/css_AFNnEjvDR5CvJkNKTljzBrlXpHTR2BYWPNnWbH1OEx4.css	206.81.1.69/sites/default/files/css/css_AFNnEjvDR5CvJkNKTljzBrlXpHTR2BYWPNnWbH1OEx4.css	(from http://206.81.1.69/)
20:42:27	166048/166048	---M--	200	added ('OK')	text/css	etag:%22597ea577-288a0%22	http://206.81.1.69/sites/default/files/css/css_uB77O8GFXXg4EF3AIWjF9gi0sRgKIIPWdXB1JQqSYuk.css	206.81.1.69/sites/default/files/css/css_uB77O8GFXXg4EF3AIWjF9gi0sRgKIIPWdXB1JQqSYuk.css	(from http://206.81.1.69/)
20:42:27	0/0	---M--	200	added ('OK')	text/css	etag:%22597e165f-0%22	http://206.81.1.69/sites/default/files/css/css_47DEQpj8HBSa-_TImW-5JCeuQeRkm5NMpJWZG3hSuFU.css	206.81.1.69/sites/default/files/css/css_47DEQpj8HBSa-_TImW-5JCeuQeRkm5NMpJWZG3hSuFU.css	(from http://206.81.1.69/)
